scenario_id,excited_positive_minus_neutral,previous_chat_excited_effect,chat_v1_minus_previous_chat
case_000_davis_crescent_t0,32.5,10.25,22.25
case_000_davis_crescent_t1,8.75,1.25,7.5
scn_0001_trivial_invisible,0.0,1.0,-1.0
scn_0002_night_easy_visible,3.75,3.75,0.0
scn_0003_trivial_invisible,1.0,-1.25,2.25
scn_0004_trivial_invisible,0.5,0.25,0.25
scn_0005_daylight_moderate,33.75,2.5,31.25
scn_0006_twilight_civil,10.0,5.0,5.0
scn_0007_daylight_gibbous,39.75,12.25,27.5
scn_0008_night_easy_visible,0.0,0.0,0.0
scn_0009_night_marginal,2.5,2.5,0.0
scn_0010_night_marginal,3.75,1.25,2.5
scn_0011_twilight_astronomical,0.0,5.0,-5.0
scn_0012_daylight_gibbous,-8.75,-20.0,11.25
scn_0013_daylight_thin_crescent,17.75,28.75,-11.0
scn_0014_daylight_moderate,29.5,12.0,17.5
scn_0015_daylight_moderate,14.75,11.25,3.5
scn_0016_daylight_thin_crescent,13.75,16.0,-2.25
scn_0017_twilight_civil,-22.5,-1.25,-21.25
scn_0018_daylight_gibbous,38.5,48.25,-9.75
scn_0019_daylight_thin_crescent,-12.5,-15.0,2.5
scn_0020_daylight_moderate,3.75,-30.0,33.75
scn_0021_daylight_moderate,-17.25,2.5,-19.75
scn_0022_twilight_nautical,2.5,1.25,1.25
scn_0023_daylight_thin_crescent,14.5,7.75,6.75
scn_0024_daylight_near_sun_extreme,0.0,0.0,0.0
scn_0025_daylight_near_sun_extreme,0.0,1.0,-1.0
scn_0026_daylight_thin_crescent,7.5,16.875,-9.375
scn_0027_twilight_civil,0.0,2.5,-2.5
scn_0028_twilight_astronomical,0.0,0.0,0.0
scn_0029_twilight_nautical,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,2.25,1.0,1.25
